antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'pisang'}),frozenset({'Anggur'}),0.41708542713567837,0.4221105527638191,0.19095477386934673,0.45783132530120485,1.0846242111302353,0.014898613671371935,1.0658849804578447
frozenset({'Anggur'}),frozenset({'pisang'}),0.4221105527638191,0.41708542713567837,0.19095477386934673,0.4523809523809524,1.0846242111302353,0.014898613671371935,1.0644526982739786
frozenset({'Jeruk'}),frozenset({'kurma'}),0.3969849246231156,0.4120603015075377,0.1658291457286432,0.4177215189873418,1.0137388082741587,0.002247417994495071,1.0097225256718374
frozenset({'kurma'}),frozenset({'Jeruk'}),0.4120603015075377,0.3969849246231156,0.1658291457286432,0.40243902439024387,1.0137388082741585,0.002247417994495071,1.0091272689980513
